('San Jose City Hall', Trip(trip_id=4160, duration=1271, start_date=datetime.datetime(2013, 8, 29, 10, 42), start_station_name='San Jose City Hall', start_station_id=10, end_date=datetime.datetime(2013, 8, 29, 11, 3), end_station_name='San Jose City Hall', end_station_id=10, bike_id=680, subscription_type='Subscriber', zip_code='95112'))
('Mountain View Caltrain Station', Trip(trip_id=4505, duration=97713, start_date=datetime.datetime(2013, 8, 29, 13, 30), start_station_name='Mountain View Caltrain Station', start_station_id=28, end_date=datetime.datetime(2013, 8, 30, 16, 38), end_station_name='Mountain View City Hall', end_station_id=27, bike_id=141, subscription_type='Subscriber', zip_code='94039'))
('Steuart at Market', Trip(trip_id=4289, duration=970, start_date=datetime.datetime(2013, 8, 29, 11, 58), start_station_name='Steuart at Market', start_station_id=74, end_date=datetime.datetime(2013, 8, 29, 12, 14), end_station_name='Steuart at Market', end_station_id=74, bike_id=570, subscription_type='Subscriber', zip_code='94109'))
('San Francisco City Hall', Trip(trip_id=4265, duration=151, start_date=datetime.datetime(2013, 8, 29, 11, 40), start_station_name='San Francisco City Hall', start_station_id=58, end_date=datetime.datetime(2013, 8, 29, 11, 42), end_station_name='San Francisco City Hall', end_station_id=58, bike_id=520, subscription_type='Subscriber', zip_code='94110'))
('Temporary Transbay Terminal (Howard at Beale)', Trip(trip_id=4313, duration=5709, start_date=datetime.datetime(2013, 8, 29, 12, 6), start_station_name='Temporary Transbay Terminal (Howard at Beale)', start_station_id=55, end_date=datetime.datetime(2013, 8, 29, 13, 41), end_station_name='Temporary Transbay Terminal (Howard at Beale)', end_station_id=55, bike_id=352, subscription_type='Customer', zip_code=''))
('2nd at Townsend', Trip(trip_id=4276, duration=173, start_date=datetime.datetime(2013, 8, 29, 11, 45), start_station_name='2nd at Townsend', start_station_id=61, end_date=datetime.datetime(2013, 8, 29, 11, 48), end_station_name='2nd at South Park', end_station_id=64, bike_id=280, subscription_type='Customer', zip_code='95819'))
('Civic Center BART (7th at Market)', Trip(trip_id=4378, duration=173, start_date=datetime.datetime(2013, 8, 29, 12, 27), start_station_name='Civic Center BART (7th at Market)', start_station_id=72, end_date=datetime.datetime(2013, 8, 29, 12, 30), end_station_name='Civic Center BART (7th at Market)', end_station_id=72, bike_id=374, subscription_type='Subscriber', zip_code='94110'))
('Commercial at Montgomery', Trip(trip_id=4086, duration=178, start_date=datetime.datetime(2013, 8, 29, 9, 42), start_station_name='Commercial at Montgomery', start_station_id=45, end_date=datetime.datetime(2013, 8, 29, 9, 45), end_station_name='Commercial at Montgomery', end_station_id=45, bike_id=379, subscription_type='Subscriber', zip_code='94402'))
('Washington at Kearney', Trip(trip_id=4400, duration=189, start_date=datetime.datetime(2013, 8, 29, 12, 39), start_station_name='Washington at Kearney', start_station_id=46, end_date=datetime.datetime(2013, 8, 29, 12, 42), end_station_name='Clay at Battery', end_station_id=41, bike_id=619, subscription_type='Subscriber', zip_code='94609'))
('University and Emerson', Trip(trip_id=4116, duration=1213, start_date=datetime.datetime(2013, 8, 29, 10, 11), start_station_name='University and Emerson', start_station_id=35, end_date=datetime.datetime(2013, 8, 29, 10, 32), end_station_name='California Ave Caltrain Station', end_station_id=36, bike_id=83, subscription_type='Subscriber', zip_code='95112'))
